table(i,j), i, j = 2.69794e+01, 0, 0
table(i,j), i, j = 2.69794e+01, 0, 1
table(i,j), i, j = 2.69549e+01, 0, 2
table(i,j), i, j = 2.69305e+01, 0, 3
table(i,j), i, j = 2.69305e+01, 0, 4
table(i,j), i, j = 2.69061e+01, 0, 5
table(i,j), i, j = 2.69061e+01, 0, 6
table(i,j), i, j = 2.68572e+01, 0, 7
table(i,j), i, j = 2.68572e+01, 0, 8
table(i,j), i, j = 2.68572e+01, 0, 9
table(i,j), i, j = 2.68327e+01, 0, 10
table(i,j), i, j = 2.67761e+01, 0, 11
table(i,j), i, j = 2.67272e+01, 0, 12
table(i,j), i, j = 2.67272e+01, 0, 13
table(i,j), i, j = 2.67272e+01, 0, 14
table(i,j), i, j = 2.67272e+01, 0, 15
table(i,j), i, j = 2.67272e+01, 0, 16
table(i,j), i, j = 2.66295e+01, 0, 17
table(i,j), i, j = 2.66295e+01, 0, 18
table(i,j), i, j = 2.66295e+01, 0, 19
table(i,j), i, j = 2.66295e+01, 0, 20
table(i,j), i, j = 2.66295e+01, 0, 21
table(i,j), i, j = 2.66295e+01, 0, 22
table(i,j), i, j = 2.65317e+01, 0, 23
table(i,j), i, j = 2.65317e+01, 0, 24
table(i,j), i, j = 2.64751e+01, 0, 25
table(i,j), i, j = 2.64751e+01, 0, 26
table(i,j), i, j = 2.64751e+01, 0, 27
table(i,j), i, j = 2.64869e+01, 0, 28
table(i,j), i, j = 2.64751e+01, 0, 29
table(i,j), i, j = 2.64751e+01, 0, 30
table(i,j), i, j = 2.63773e+01, 0, 31
table(i,j), i, j = 2.62796e+01, 0, 32
table(i,j), i, j = 2.62796e+01, 0, 33
table(i,j), i, j = 2.61740e+01, 0, 34
table(i,j), i, j = 2.61740e+01, 0, 35
table(i,j), i, j = 2.61740e+01, 0, 36
table(i,j), i, j = 2.61740e+01, 0, 37
table(i,j), i, j = 2.61740e+01, 0, 38
table(i,j), i, j = 2.61740e+01, 0, 39
table(i,j), i, j = 2.59785e+01, 0, 40
table(i,j), i, j = 2.59785e+01, 0, 41
table(i,j), i, j = 2.59785e+01, 0, 42
table(i,j), i, j = 2.59785e+01, 0, 43
table(i,j), i, j = 2.59785e+01, 0, 44
table(i,j), i, j = 2.59785e+01, 0, 45
table(i,j), i, j = 2.59785e+01, 0, 46
table(i,j), i, j = 2.59785e+01, 0, 47
table(i,j), i, j = 2.59785e+01, 0, 48
table(i,j), i, j = 2.59785e+01, 0, 49
table(i,j), i, j = 2.59785e+01, 0, 50
table(i,j), i, j = 2.59785e+01, 0, 51
table(i,j), i, j = 2.59785e+01, 0, 52
table(i,j), i, j = 2.59785e+01, 0, 53
table(i,j), i, j = 2.56775e+01, 0, 54
table(i,j), i, j = 2.56775e+01, 0, 55
table(i,j), i, j = 2.56775e+01, 0, 56
table(i,j), i, j = 2.56775e+01, 0, 57
table(i,j), i, j = 2.56775e+01, 0, 58
table(i,j), i, j = 2.56775e+01, 0, 59
table(i,j), i, j = -5.14541e+01, 0, 60
table(i,j), i, j = -5.14541e+01, 0, 61
table(i,j), i, j = -5.14541e+01, 0, 62
table(i,j), i, j = -5.14541e+01, 0, 63
table(i,j), i, j = -5.14541e+01, 0, 64
table(i,j), i, j = -5.14541e+01, 0, 65
table(i,j), i, j = -5.14541e+01, 0, 66
table(i,j), i, j = -5.14541e+01, 0, 67
table(i,j), i, j = -5.14541e+01, 0, 68
table(i,j), i, j = -5.14541e+01, 0, 69
table(i,j), i, j = -5.14541e+01, 0, 70
table(i,j), i, j = -5.14541e+01, 0, 71
table(i,j), i, j = -5.14541e+01, 0, 72
table(i,j), i, j = -5.14541e+01, 0, 73
